1,1
2,2
3,2
4,2
5,2
6,3
7,4
8,4
9,5
10,5
11,6
12,6
13,6
14,6
15,6
16,5
17,5
18,5
19,5
20,6
21,6
22,7
23,7
24,6
25,6
26,5
27,4
28,5
29,6
30,7
31,5
32,6
33,6
34,5
35,7
36,6
37,5
38,6
39,4
40,5
41,3
42,4
43,4
44,7
45,7
46,5
47,7
48,7
49,5
50,5
51,-1
52,7
53,6
54,7
55,7
56,8
57,7
58,7
59,8
60,8
61,8
62,8
63,9
64,9
65,10
66,11
67,11
68,11
69,12
70,11
71,11
72,11
73,11
74,11
75,11
76,12
77,11
78,11
79,11
80,11
81,11
82,11
83,12
84,11
85,11
86,11
87,12
88,11
89,11
90,11
91,11
92,11
93,11
94,11
95,11
96,11
97,12
98,12
99,12
100,12
